"v","w","mu","sigma","mean","estimate_naive","estimate_debiased"
-5,5,NA,NA,-0.235604883990902,6.88423627518441,6.75893871675685
-4,4,NA,NA,-0.0168683034452777,5.69667525107952,5.53155706636062
-3,3,NA,NA,0.0994788269133501,4.49010574539436,4.26208563622753
-2,2,NA,NA,-0.0907620320228795,3.49798471704012,3.15114288279553
-1,1,NA,NA,0.00794573152388143,2.58199681634419,2.01044345012651
-0.7,0.7,NA,NA,-0.0354927409223567,2.44405427802917,1.82800214004797
-0.3,0.3,NA,NA,0.00129131122165784,2.35299249396152,1.6992779963584
0,0.3,NA,NA,0.333058333563223,2.32596800876714,1.66090099193113
0,0.7,NA,NA,0.796281700224304,2.4106043090507,1.78416674322439
0,1,NA,NA,1.15371465893389,2.57608835612645,1.99852235048194
0,2,NA,NA,2.2689225732257,3.39571232280317,3.02600735805486
0,3,NA,NA,3.50734578406614,4.46931883198794,4.23731751190166
-0.3,1,NA,NA,0.853025780095116,2.6448358688242,2.09224740783485
NA,NA,-1,0.5,-2.33898713193781,1.98717826950682,1.18144653983344
NA,NA,-1,1,-2.19485151264895,2.92643515222216,2.43457465675403
NA,NA,-1,2,-2.34555637341803,4.75982183191613,4.52378584211714
NA,NA,-1,3,-2.78965572822495,6.06292326480203,5.88793438037319
NA,NA,-0.7,0.5,-1.74292787306048,2.30375376203506,1.61324669432079
NA,NA,-0.7,1,-1.63539550679028,2.80588663199168,2.27016152636028
NA,NA,-0.7,2,-1.44551591629148,4.48140036394685,4.19713378054246
NA,NA,-0.7,3,-1.80804234803678,6.51969805842414,6.37624911079981
NA,NA,-0.3,0.5,-0.764504058331771,2.43425096874313,1.80987666830617
NA,NA,-0.3,1,-0.667068560194017,3.11589502194212,2.66738899857697
NA,NA,-0.3,2,-0.550291804427758,5.2391690852796,5.03507413336898
NA,NA,-0.3,3,-0.513951523286246,6.50034906257922,6.32816544025998
NA,NA,0,0.5,0.0674427368161136,2.63166094371553,2.06698579652957
NA,NA,0,1,-0.0160635291586673,3.35016228295941,2.95688320841121
NA,NA,0,2,0.0854787845559152,4.84321045001138,4.62095725610595
NA,NA,0,3,-0.362976424439562,7.43431769059181,7.30112102893773
NA,NA,0.3,0.5,0.71982926304294,2.72380907625929,2.19968413515844
NA,NA,0.3,1,0.793948583723935,3.48838133559031,3.11377927644568
NA,NA,0.3,2,0.854321644443351,5.41495718519152,5.19911738178114
NA,NA,0.3,3,0.980226677712422,7.23774169844241,7.09469523928791
NA,NA,0.7,0.5,1.57210437753365,2.98421953394165,2.52047081875593
NA,NA,0.7,1,1.48228256651083,3.75972730499569,3.43018728993117
NA,NA,0.7,2,1.8228228458478,5.68387986438276,5.5068725074285
NA,NA,0.7,3,2.05833330365766,7.3164211541924,7.18711881671976
NA,NA,1,0.5,2.30593938925969,3.22022486537146,2.81634434178525
NA,NA,1,1,2.39021423165579,4.10193172651806,3.81742659403141
NA,NA,1,2,2.42458907063124,5.97524201355794,5.80491231521225
NA,NA,1,3,2.14226895736871,7.80995159121053,7.69240920148694
NA,NA,2,0.5,4.66865835458834,4.78006517243166,4.62098230404029
NA,NA,2,1,4.62978972430406,5.34595976308082,5.20270106320557
NA,NA,2,2,4.66403830370082,6.80795841908262,6.68171099496943
NA,NA,2,3,4.75780664536261,8.55710748673225,8.44238424579808
NA,NA,3,0.5,6.97892219188126,6.98439903977819,6.95728006170845
NA,NA,3,1,6.99426219523869,7.14644164400148,7.09054369055035
NA,NA,3,2,7.12234463386409,8.35262498914873,8.27829417476991
NA,NA,3,3,6.83979750382971,9.53643846975883,9.4501422049247
NA,NA,NA,NA,2.3895769843317,3.33559755497674,2.95052467645502
